# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 36032
94 1.904923 0.076185 0.804941 128 128 255 1.0000 70 0
95 1.369531 0.068972 0.219311 128 128 255 1.0000 70 0
96 1.795692 0.039217 0.584890 128 128 255 1.0000 70 0
97 1.811605 0.037031 0.450156 128 128 255 1.0000 70 0
98 1.827279 0.074658 0.613635 128 128 255 1.0000 70 0
99 1.372352 -0.821520 0.974941 128 128 255 1.0000 70 0
100 1.859674 -0.645580 0.048954 128 128 255 1.0000 70 0
101 2.066228 -0.430382 0.348285 128 128 255 1.0000 70 0
102 1.935949 -0.533132 -0.025580 128 128 255 1.0000 70 0
103 1.802038 -0.141678 0.522520 128 128 255 1.0000 70 0
104 0.555459 -0.715227 1.223075 128 128 255 1.0000 9 0
105 1.360389 -0.433144 1.374173 128 128 255 1.0000 70 0
106 1.799247 -0.436102 1.329918 128 128 255 1.0000 70 0
107 0.818284 -0.560616 1.506279 128 128 255 1.0000 70 0
108 1.802930 -0.083454 0.448780 128 128 255 1.0000 70 0
109 0.710466 -0.530429 -0.789166 128 128 255 1.0000 9 0
110 1.797316 -0.077419 0.463534 128 128 255 1.0000 70 0
111 0.439408 -0.465155 1.588035 128 128 255 1.0000 70 0
112 2.071157 -0.161549 0.049903 128 128 255 1.0000 70 0
113 2.025285 -0.154771 0.056201 128 128 255 1.0000 70 0
114 0.416691 -0.353159 1.585559 128 128 255 1.0000 70 0
115 1.982679 -0.159142 -0.134889 128 128 255 1.0000 70 0
116 0.443938 -0.165685 1.534430 128 128 255 1.0000 70 0
117 1.156399 -0.123393 1.340474 128 128 255 1.0000 70 0
118 0.791621 -0.111988 1.495627 128 128 255 1.0000 70 0
119 1.432926 0.009895 0.461845 128 128 255 1.0000 70 0
120 1.518378 0.054246 1.198276 128 128 255 1.0000 70 0
121 1.996526 0.053285 0.061087 128 128 255 1.0000 70 0
122 1.811068 0.021450 0.440086 128 128 255 1.0000 70 0
123 1.810844 0.018295 0.429513 128 128 255 1.0000 70 0
124 1.811469 0.067940 0.282689 128 128 255 1.0000 70 0
125 1.812164 0.054594 0.469418 128 128 255 1.0000 70 0
126 1.467191 0.082776 0.463887 128 128 255 1.0000 70 0
127 2.062889 -0.530034 0.756028 128 128 255 1.0000 70 0
128 2.093981 -0.434296 0.480104 128 128 255 1.0000 70 0
129 1.943906 -0.501780 0.046695 128 128 255 1.0000 70 0
130 2.156315 -0.531634 1.105254 128 128 255 1.0000 70 0
131 2.063510 -0.357062 0.265149 128 128 255 1.0000 70 0
132 0.715912 -0.521613 0.574967 128 128 255 1.0000 70 0
133 0.749446 -0.714540 1.531139 128 128 255 1.0000 70 0
134 1.478366 -0.510436 1.393859 128 128 255 1.0000 70 0
135 1.488064 -0.443421 1.363481 128 128 255 1.0000 70 0
136 0.609200 -0.390643 0.253768 128 128 255 1.0000 70 0
137 -0.272163 -0.086036 1.110639 128 128 255 1.0000 9 0
138 1.386091 -0.366285 1.514571 128 128 255 1.0000 70 0
139 2.039218 -0.069461 0.100688 128 128 255 1.0000 70 0
140 2.026219 -0.076627 0.056724 128 128 255 1.0000 70 0
141 2.167509 -0.047200 -0.018510 128 128 255 1.0000 70 0
142 2.012375 -0.069062 -0.071631 128 128 255 1.0000 70 0
143 2.027182 -0.037851 0.059805 128 128 255 1.0000 70 0
144 1.743422 -0.028065 0.029411 128 128 255 1.0000 70 0
145 2.006794 0.014706 -0.008822 128 128 255 1.0000 70 0
146 1.407326 0.079076 1.102181 128 128 255 1.0000 70 0
147 1.910937 0.068125 0.796516 128 128 255 1.0000 70 0
148 1.739825 0.059439 0.027659 128 128 255 1.0000 70 0
149 1.817911 0.078037 0.809691 128 128 255 1.0000 70 0
150 1.810622 0.022813 0.459232 128 128 255 1.0000 70 0
151 1.792494 0.035885 0.551934 128 128 255 1.0000 70 0
152 0.313930 -0.495051 0.377153 128 128 255 1.0000 9 0
153 1.811605 0.030081 0.446552 128 128 255 1.0000 70 0
154 1.744877 0.072442 0.144783 128 128 255 1.0000 70 0
155 1.793530 0.049990 0.578812 128 128 255 1.0000 70 0
156 1.793095 0.053470 0.579118 128 128 255 1.0000 70 0
157 1.473714 -0.825880 -0.014956 128 128 255 1.0000 70 0
158 0.889666 -1.024825 0.364930 128 128 255 1.0000 70 0
159 1.970240 -0.705892 0.055885 128 128 255 1.0000 70 0
160 0.818776 -0.640126 0.842004 128 128 255 1.0000 70 0
161 2.072828 -0.353846 0.349236 128 128 255 1.0000 71 0
162 0.418243 -0.724262 0.706565 128 128 255 1.0000 5 0
163 1.865384 -0.146102 0.568901 128 128 255 1.0000 70 0
164 1.939643 -0.209613 -0.346954 128 128 255 1.0000 70 0
165 0.377804 -0.291994 1.500465 128 128 255 1.0000 70 0
166 0.581792 -0.641470 1.201010 128 128 255 1.0000 9 0
167 1.822333 -0.045422 0.448729 128 128 255 1.0000 70 0
168 2.034680 -0.034858 0.120338 128 128 255 1.0000 70 0
169 1.908180 0.023929 0.272094 128 128 255 1.0000 70 0
170 1.809451 0.018247 0.453392 128 128 255 1.0000 70 0
171 1.911305 0.069616 0.129334 128 128 255 1.0000 70 0
172 1.749516 0.064952 0.028254 128 128 255 1.0000 70 0
173 1.746143 0.072512 0.144169 128 128 255 1.0000 70 0
174 1.810034 0.041942 0.443974 128 128 255 1.0000 70 0
175 1.812029 0.068300 0.283201 128 128 255 1.0000 70 0
176 1.415058 0.066670 0.594664 128 128 255 1.0000 70 0
177 1.827732 0.068608 0.353000 128 128 255 1.0000 70 0
178 1.811135 0.073604 0.279783 128 128 255 1.0000 70 0
179 1.827911 0.074300 0.355771 128 128 255 1.0000 70 0
