# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 104
40 0.6999446984 -0.0090865051 -0.7141370705 0.0017604345 1.0958849219 -0.0247799656 -0.8250967148 1 frame_0039.jpg

41 0.7016630855 -0.0091980702 -0.7124456805 -0.0023371614 1.0894276431 -0.0265903065 -0.8734960498 1 frame_0040.jpg

42 0.7018027070 -0.0114148672 -0.7122770349 0.0020215763 1.0873989040 -0.0317707780 -0.9153129929 1 frame_0041.jpg

43 0.6871727326 -0.0071516000 -0.7264501890 0.0035514911 1.1232382936 -0.0191728292 -0.9132595992 1 frame_0042.jpg

44 0.6770942359 -0.0137550393 -0.7357677429 -0.0001521453 1.1442917247 -0.0391725106 -0.9242505591 1 frame_0043.jpg

45 0.6699810216 -0.0111890237 -0.7422793602 0.0046462834 1.1612928535 -0.0305513328 -0.9436857274 1 frame_0044.jpg

46 0.6670786150 -0.0093773107 -0.7449273420 0.0012010879 1.1666024721 -0.0257888544 -0.9786098086 1 frame_0045.jpg

47 0.6640888247 -0.0081013475 -0.7475867197 0.0058734717 1.1733747399 -0.0215182313 -1.0106965312 1 frame_0046.jpg

48 0.6629876592 -0.0053952299 -0.7485573612 0.0089516648 1.1751976943 -0.0130861407 -1.0494506951 1 frame_0047.jpg

49 0.6632722633 -0.0094889963 -0.7482737293 0.0081418442 1.1720553344 -0.0262165044 -1.0922617391 1 frame_0048.jpg

50 0.6701895527 -0.0037605737 -0.7421784690 0.0017151100 1.1495312187 -0.0073068892 -1.1577000586 1 frame_0049.jpg

51 0.6780840783 -0.0032649004 -0.7349768277 -0.0006211445 1.1224751569 -0.0052184943 -1.2253257034 1 frame_0050.jpg

52 0.6858732380 -0.0059530604 -0.7276720329 0.0059895667 1.0944580775 -0.0162613419 -1.2899927347 1 frame_0051.jpg

53 0.6918965176 -0.0054379993 -0.7219710567 0.0027258695 1.0706773288 -0.0134238100 -1.3513424693 1 frame_0052.jpg

54 0.6987212216 -0.0031573573 -0.7153712896 0.0047543180 1.0434035294 -0.0067320762 -1.4139937327 1 frame_0053.jpg

55 0.6762969734 -0.0083770089 -0.7365649553 0.0049291080 1.1277006661 -0.0247713751 -1.3887321259 1 frame_0054.jpg

56 0.6140088703 -0.0088458580 -0.7892368498 0.0044780608 1.3392183406 -0.0254445967 -1.2303740839 1 frame_0055.jpg

57 0.5404093184 -0.0120358400 -0.8412945435 0.0060330922 1.5391268346 -0.0358569017 -1.0133511267 1 frame_0056.jpg

58 -0.4656593348 0.0107433418 0.8848886753 -0.0042422736 1.6919088438 -0.0297491493 -0.7775769351 1 frame_0057.jpg

59 -0.3855430586 0.0161871817 0.9225450214 -0.0022822389 1.8027173786 -0.0493726126 -0.5112747803 1 frame_0058.jpg

60 -0.3020715775 0.0170354121 0.9531213600 -0.0047148513 1.8659967176 -0.0493538879 -0.2279209313 1 frame_0059.jpg

61 -0.2183087215 0.0177033092 0.9756989738 -0.0062775390 1.8785901685 -0.0477604158 0.0552858361 1 frame_0060.jpg

62 -0.1557809526 0.0198627129 0.9875841894 -0.0039033812 1.8558296938 -0.0556716977 0.2511830928 1 frame_0061.jpg

63 -0.0934319816 0.0175276702 0.9954539086 -0.0058958855 1.8107438101 -0.0427210208 0.4400067695 1 frame_0062.jpg

64 -0.0336255958 0.0154521417 0.9992822340 -0.0080973686 1.7454965186 -0.0303044356 0.6109581173 1 frame_0063.jpg

65 0.0364921681 0.0140287635 0.9992210517 -0.0053670642 1.6436557187 -0.0267687520 0.8063049328 1 frame_0064.jpg

66 0.1051485082 0.0159983055 0.9943188735 -0.0042217478 1.5170031668 -0.0326173184 0.9818162529 1 frame_0065.jpg

67 0.1494464580 0.0130187562 0.9886392020 -0.0094231890 1.4229151549 -0.0127743615 1.0717559217 1 frame_0066.jpg

68 0.1668298680 0.0104383759 0.9858780392 -0.0101650049 1.3831337570 -0.0030623550 1.0795147109 1 frame_0067.jpg

69 0.1747796534 0.0137765272 0.9845019268 -0.0042703967 1.3631384076 -0.0227563225 1.0591002948 1 frame_0068.jpg

70 0.1792149089 0.0110981342 0.9837294129 -0.0059405496 1.3524406146 -0.0118609599 1.0315219235 1 frame_0069.jpg

71 0.1510800871 0.0125992153 0.9884101413 -0.0078396244 1.4062400109 -0.0147234008 0.9129234119 1 frame_0070.jpg

72 0.0802305373 0.0111611025 0.9967026730 -0.0047193577 1.5189336504 -0.0167726071 0.6605437865 1 frame_0071.jpg

73 0.0398942782 0.0098502874 0.9991224561 -0.0081077770 1.5652450353 -0.0106771072 0.4937104167 1 frame_0072.jpg

74 0.0127066828 0.0107893654 0.9998330326 -0.0074857739 1.5878386596 -0.0153948877 0.3655887743 1 frame_0073.jpg

75 -0.0093277171 0.0112986045 0.9998543426 -0.0087537902 1.6002601468 -0.0170317315 0.2544955781 1 frame_0074.jpg

76 -0.0227135625 0.0134235418 0.9996176585 -0.0082728092 1.6044557193 -0.0246090763 0.1737168203 1 frame_0075.jpg

77 -0.0069307571 0.0117549749 0.9998354407 -0.0119531029 1.5974287228 -0.0174700770 0.1829173406 1 frame_0076.jpg

78 0.0590363491 0.0133529579 0.9981469053 -0.0062580669 1.5594143559 -0.0231475134 0.3490049697 1 frame_0077.jpg

79 0.0920840766 0.0091704887 0.9956665873 -0.0091908645 1.5322905122 -0.0077317335 0.4107284521 1 frame_0078.jpg

80 0.0926860582 0.0124635184 0.9955970591 -0.0063601366 1.5295047838 -0.0196865905 0.3746443682 1 frame_0079.jpg

81 0.0846037735 0.0121281260 0.9962855546 -0.0104978022 1.5336878027 -0.0174546687 0.3133293892 1 frame_0080.jpg

82 0.0706850209 0.0123664052 0.9973922457 -0.0077076653 1.5401506223 -0.0196984978 0.2324068558 1 frame_0081.jpg

83 0.0562274630 0.0143158634 0.9982856367 -0.0077016925 1.5442854590 -0.0262532345 0.1498360826 1 frame_0082.jpg

84 0.0428308637 0.0165515039 0.9989365856 -0.0041548412 1.5456348918 -0.0340651934 0.0696328435 1 frame_0083.jpg

85 0.0304937705 0.0158668519 0.9993939951 -0.0054786489 1.5453882349 -0.0322317833 -0.0060924304 1 frame_0084.jpg

86 0.0193136711 0.0156252270 0.9996804678 -0.0046686962 1.5432701944 -0.0315259602 -0.0789748109 1 frame_0085.jpg

87 0.0105776601 0.0127406655 0.9998050403 -0.0107549996 1.5405785427 -0.0246327015 -0.1446324325 1 frame_0086.jpg

88 -0.0000518117 0.0163166555 0.9998373227 -0.0076871415 1.5348245120 -0.0350349271 -0.2167844553 1 frame_0087.jpg

89 0.0027228740 0.0168458337 0.9998250397 -0.0076611941 1.5344741945 -0.0368176977 -0.2454582193 1 frame_0088.jpg

90 0.0351921825 0.0155572037 0.9992389686 -0.0064005799 1.5468589494 -0.0320670944 -0.1831785385 1 frame_0089.jpg

91 0.0520744923 0.0185754834 0.9984499476 -0.0063953675 1.5499269596 -0.0413696585 -0.1683959288 1 frame_0090.jpg

92 0.0497528231 0.0184008743 0.9985774803 -0.0053926139 1.5473515041 -0.0404369856 -0.2136186441 1 frame_0091.jpg

93 0.0384125801 0.0184405909 0.9990755707 -0.0056940547 1.5406937469 -0.0410111975 -0.2861229329 1 frame_0092.jpg

94 0.0278127430 0.0141886907 0.9995048858 -0.0038878741 1.5336983557 -0.0268480372 -0.3573334637 1 frame_0093.jpg

